source,target,weight
liddi-a.txt,http://www.w3.org/2000/01/rdf-schema#,98085
liddi-a.txt,http://purl.org/dc/terms/,98085
liddi-a.txt,http://www.w3.org/1999/02/22-rdf-syntax-ns#,97730
liddi-a.txt,http://bio2rdf.org/drugbank_vocabulary:,97730
liddi-a.txt,http://liddi.stanford.edu/LIDDI_vocabulary:,355
liddi-h.txt,http://www.w3.org/1999/02/22-rdf-syntax-ns#,98085
liddi-h.txt,http://www.nanopub.org/nschema#,98085
liddi-i.txt,http://www.w3.org/ns/prov#,98085
liddi-i.txt,http://purl.org/dc/terms/,98085
liddi-p.txt,http://www.w3.org/ns/prov#,98085
liddi-p.txt,http://www.w3.org/1999/02/22-rdf-syntax-ns#,98085
liddi-p.txt,http://purl.org/dc/terms/,98085
liddi-p.txt,http://semanticscience.org/resource/,97730
liddi-p.txt,http://rdfs.org/ns/void#,97730
wp-a.txt,http://www.w3.org/1999/02/22-rdf-syntax-ns#,26789
wp-a.txt,http://vocabularies.wikipathways.org/wp#,26789
wp-a.txt,http://purl.org/dc/terms/,1333
wp-a.txt,http://purl.org/nanopub/x/,145
wp-h.txt,http://www.w3.org/1999/02/22-rdf-syntax-ns#,26934
wp-h.txt,http://www.nanopub.org/nschema#,26934
wp-i.txt,http://purl.org/dc/terms/,26934
wp-i.txt,http://www.w3.org/1999/02/22-rdf-syntax-ns#,26845
wp-i.txt,http://www.w3.org/ns/prov#,26789
wp-i.txt,http://purl.org/nanopub/x/,1287
wp-i.txt,http://purl.org/pav/,145
wp-i.txt,http://purl.org/dc/elements/1.1/,145
wp-p.txt,http://semanticscience.org/resource/,26789
wp-p.txt,http://purl.org/dc/elements/1.1/,26789
wp-p.txt,http://www.w3.org/1999/02/22-rdf-syntax-ns#,145
